58,176.39,0.994093,0.816522,92.04,0.996305,0.850246,92.77,0.996240,0.864974,92.61
59,175.33,0.994846,0.831698,92.34,0.995482,0.855225,92.50,0.995749,0.873819,92.29
60,180.48,0.994931,0.835972,92.54,0.996897,0.875752,93.28,0.996831,0.887430,93.15
61,180.98,0.995636,0.852007,93.01,0.997153,0.883104,93.59,0.997170,0.908470,93.48
62,176.76,0.996025,0.848648,93.20,0.996871,0.874536,93.23,0.996657,0.895499,92.97
63,178.65,0.995678,0.854285,93.14,0.995914,0.849603,92.58,0.995844,0.850527,92.48
64,180.99,0.992983,0.824779,92.02,0.987805,0.803502,86.36,0.987145,0.827911,86.09
65,185.94,0.988574,0.785752,90.95,0.994448,0.816933,91.84,0.994568,0.846962,91.60
66,179.14,0.990404,0.797547,91.20,0.994313,0.829042,91.92,0.995046,0.855686,91.73
67,174.17,0.993178,0.817152,91.74,0.996156,0.860443,92.78,0.995971,0.882441,92.54
68,181.30,0.994335,0.816453,92.17,0.996354,0.884580,93.14,0.996443,0.896719,92.98
69,182.39,0.995590,0.839137,92.68,0.996336,0.888656,92.99,0.995690,0.906101,92.72
70,182.72,0.995539,0.846963,92.65,0.996722,0.883921,92.86,0.996510,0.899853,92.69
71,177.58,0.993540,0.835448,91.79,0.995684,0.883862,92.69,0.995658,0.900270,92.48
72,178.05,0.994404,0.854504,92.31,0.996541,0.905742,92.96,0.996273,0.914922,92.72
73,179.67,0.995221,0.865308,92.51,0.996588,0.896504,93.09,0.996447,0.905846,92.91
74,176.87,0.995395,0.863765,92.57,0.997069,0.906969,93.23,0.996860,0.921638,93.00
75,172.83,0.995907,0.876721,92.88,0.997127,0.909923,93.34,0.996846,0.924547,93.15
76,180.90,0.996328,0.885269,93.13,0.996354,0.925204,93.62,0.996682,0.927210,93.34
77,175.78,0.996369,0.887605,93.50,0.997683,0.931649,94.43,0.997547,0.939618,94.16
78,181.12,0.996553,0.892861,93.76,0.997623,0.920597,94.40,0.997525,0.937171,94.28
79,176.50,0.989268,0.795652,91.29,0.994541,0.833805,92.44,0.994275,0.855913,92.08
80,177.53,0.993832,0.838095,92.12,0.995656,0.883036,92.23,0.995198,0.907058,91.98
81,173.76,0.995056,0.864653,92.76,0.996715,0.907256,93.67,0.996467,0.919191,93.48
82,173.21,0.994919,0.861733,92.77,0.996949,0.892836,93.81,0.996958,0.908223,93.65
83,174.61,0.991702,0.822779,91.47,0.983778,0.737568,88.00,0.983777,0.745995,87.71
84,173.97,0.991425,0.798599,91.20,0.995127,0.870772,92.34,0.994874,0.882078,92.21
85,176.08,0.992021,0.815922,91.43,0.995523,0.867562,92.66,0.995352,0.887616,92.50
86,174.07,0.994607,0.848548,92.53,0.996321,0.884867,93.28,0.996018,0.909409,93.06
87,179.41,0.992735,0.829560,91.53,0.995223,0.870132,91.93,0.994907,0.888880,91.79
88,183.67,0.994851,0.850204,92.45,0.996418,0.879285,92.76,0.996211,0.906762,92.55
89,178.35,0.995584,0.870744,92.99,0.996934,0.895088,93.87,0.996655,0.919836,93.64
90,180.91,0.995998,0.878360,93.17,0.997242,0.913759,93.98,0.997077,0.930765,93.81
91,180.96,0.996267,0.888326,93.50,0.997343,0.919104,94.02,0.997167,0.930614,93.86
92,176.60,0.996560,0.893466,93.67,0.997377,0.933201,94.11,0.997219,0.933515,94.01
93,178.33,0.996645,0.896668,93.68,0.996859,0.929506,93.92,0.996705,0.929195,93.81
94,175.97,0.996572,0.895582,93.73,0.997650,0.921295,94.20,0.997520,0.928404,94.14
95,181.45,0.996736,0.900922,93.79,0.997279,0.927280,93.96,0.997060,0.926476,93.83
96,179.39,0.996803,0.895674,93.79,0.997443,0.932304,93.90,0.997308,0.932371,93.79
97,177.65,0.996913,0.901445,93.97,0.997564,0.917879,94.23,0.997509,0.930186,94.08
98,174.20,0.997076,0.903617,94.03,0.997708,0.930466,94.45,0.997599,0.934448,94.39
99,178.51,0.996953,0.902543,94.03,0.997592,0.932632,94.24,0.997490,0.935232,94.11
100,175.44,0.996877,0.904581,94.04,0.997755,0.945590,94.43,0.997637,0.938357,94.22
101,175.67,0.996995,0.906967,94.09,0.997811,0.943019,94.70,0.997693,0.938969,94.54
102,177.87,0.997270,0.911557,94.23,0.997933,0.937184,94.76,0.997829,0.936554,94.63
103,180.44,0.997311,0.910407,94.28,0.997880,0.927367,94.57,0.997804,0.936167,94.40
104,180.08,0.997114,0.913627,94.25,0.997931,0.935505,94.69,0.997815,0.941925,94.59
105,175.65,0.997330,0.915027,94.35,0.998131,0.942159,94.88,0.998039,0.946887,94.79
